Book,Author(s),Original language,First published,Approximate sales,Genre
The Shadow of the Wind (La sombra del viento),Carlos Ruiz Zafón,Spanish,2001,15 million[128],
Interpreter of Maladies,Jhumpa Lahiri,English,2000,15 million[129],
The Hitchhiker's Guide to the Galaxy,Douglas Adams,English,1979,14 million[130],
Tuesdays with Morrie,Mitch Albom,English,1997,14 million[131],
God's Little Acre,Erskine Caldwell,English,1933,14 million[132],
Follow Your Heart (Va' dove ti porta il cuore),Susanna Tamaro,Italian,1994,14 million[133],
A Wrinkle in Time,Madeleine L'Engle,English,1962,14 million[134],
Long Walk to Freedom,Nelson Mandela,English,1994,14 million[135],
The Old Man and the Sea,Ernest Hemingway,English,1952,13 million[59],
Life After Life,Raymond Moody,English,1975,13 million[136],
Mein Kampf,Adolf Hitler,German,1925,12.5 million [137],
Me Before You,Jojo Moyes,English,2012,12 million[138],
Norwegian Wood (ノルウェイの森),Haruki Murakami,Japanese,1987,12 million[139],
Peyton Place,Grace Metalious,English,1956,12.1 million[140],
The Plague (La Peste),Albert Camus,French,1947,12 million[141],
No Longer Human (人間失格),Osamu Dazai,Japanese,1948,12 million[142],
Man's Search for Meaning (Ein Psychologe erlebt das Konzentrationslager),Viktor Frankl,German,1946,12 million[143],
The Divine Comedy (La Divina Commedia),Dante Alighieri,Italian,1304,11–12 million (during 20th century)[144],
Becoming,Michelle Obama,English,2018,11.5 million[145],
The Prophet,Kahlil Gibran,English,1923,11 million[146],
The Exorcist,William Peter Blatty,English,1971,11 million[147],
The Gruffalo,Julia Donaldson,English,1999,10.5 million[148],
Fifty Shades Darker,E. L. James,English,2012,10.4 million in U.S.[119],
"Ronia, the Robber's Daughter",Astrid Lindgren,Swedish,1981,10 million [149],
The Cat in the Hat,Dr. Seuss,English,1957,10.5 million[150],
Diana: Her True Story,Andrew Morton,English,1992,10 million[151],
The Help,Kathryn Stockett,English,2009,10 million[152],
Catch-22,Joseph Heller,English,1961,10 million[153],
The Stranger (L'Étranger),Albert Camus,French,1942,10 million[154],
Eye of the Needle,Ken Follett,English,1978,10 million[155],
The Lovely Bones,Alice Sebold,English,2002,10 million[156],
Wild Swans,Jung Chang,English,1992,10 million[157],
Santa Evita,Tomás Eloy Martínez,Spanish,1995,10 million[158],
Night (Un di Velt Hot Geshvign),Elie Wiesel,Yiddish,1958,10 million[159],
Confucius from the Heart (于丹《论语》心得),Yu Dan,Chinese,2006,10 million[160],
The Total Woman,Marabel Morgan,English,1974,10 million[161],
Knowledge-value Revolution (知価革命),Taichi Sakaiya,Japanese,1985,10 million[162],
Problems in China's Socialist Economy (中国社会主义经济问题研究),Xue Muqiao,Chinese,1979,10 million[163],
What Color Is Your Parachute?,Richard Nelson Bolles,English,1970,10 million[164],
The Dukan Diet,Pierre Dukan,French,2000,10 million[165],
The Joy of Sex,Alex Comfort,English,1972,10 million[166],
The Gospel According to Peanuts,Robert L. Short,English,1965,10 million[167],
Life of Pi,Yann Martel,English,2001,10 million[168],
The Giver,Lois Lowry,English,1993,10 million[169],
The Front Runner,Patricia Nell Warren,English,1974,10 million[170],
The Goal,Eliyahu M. Goldratt,English,1984,10 million[171],
Fahrenheit 451,Ray Bradbury,English,1953,10 million[172],
Angela's Ashes,Frank McCourt,English,1996,10 million[173],
The Story of My Experiments with Truth (સત્યના પ્રયોગો અથવા આત્મકથા),Mohandas Karamchand Gandhi,Gujarati,1925-1929,10 million[174],
